Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
"Fresh, raw figs",3 med.,114,90,2,0,0,1,22,Breakfast
figs Canned with syrup ,3,115,130,1,0,0,1,32,Breakfast
"Fruit cocktail, canned",1 cup,256,195,1,0,0,0.5,50,Breakfast
Grapefruit sections,1 cup,250,170,1,0,0,0.5,44,Lunch
"Grapefruit, fresh, 5"" diameter",1/2,285,50,1,0,0,1,14,Lunch
Grapefruit juice,1 cup,250,100,1,0,0,1,24,Lunch
Grapes,1 cup,153,70,1,0,0,0.8,16,Lunch
"European, as Muscat, Tokay",1 cup,160,100,1,0,0,0.7,26,Lunch
Grape juice,1 cup,250,160,1,0,0,0,42,Lunch
Lemon juice,1/2 cup,125,30,0,0,0,0,10,Lunch
Lemonade concentratefrozen,6-oz. can,220,430,0,0,0,0,112,Lunch
Limeade concentrate frozen,6-oz. can,218,405,0,0,0,0,108,Lunch
Olives large,10,65,72,1,10,9,0.8,3,Lunch
OlivesRipe,10,65,105,1,13,12,1,1,Lunch
"Oranges 3"" diameter",1 med.,180,60,2,0,0,1,16,Lunch
Orange juice,8 oz. or,250,112,2,0,0,0.2,25,Lunch
Frozen ,6-oz. can,210,330,2,0,0,0.4,78,Lunch
Papaya,1/2 med.,200,75,1,0,0,1.8,18,Lunch
Peaches,1 cup,257,200,1,0,0,1,52,Lunch
"Fresh, raw",1 med.,114,35,1,0,0,0.6,10,Lunch
Pears,1 cup,255,195,1,0,0,2,50,Lunch
"Raw, 3 by 2V",1 med.,182,100,1,1,0,2,25,Lunch
Persimmons,1 med.,125,75,1,0,0,2,20,Lunch
Pineapple,1 large slice,122,95,0,0,0,0.4,26,Lunch
Pineapple Crushed,1 cup,260,205,1,0,0,0.7,55,Lunch
"Raw, diced",1 cup,140,75,1,t',0,0.6,19,Lunch
Pineapple juice,1 cup,250,120,1,0,0,0.2,32,Lunch
Plums,1 cup,256,185,1,0,0,0.7,50,Lunch
"Raw, 2"" diameter",1,60,30,0,0,0,0.2,7,Lunch
Prunes,1 cup,270,300,3,1,0,0.8,81,Lunch
Prune juice,1 cup,240,170,1,0,0,0.7,45,Lunch
